Period,Unemployment Rate
1983-01,3.400000
1983-02,3.700000
1983-03,3.700000
1983-04,3.400000
1983-05,3.700000
1983-06,3.900000
1983-07,3.700000
1983-08,3.800000
1983-09,3.800000
1983-10,3.700000
1983-11,3.700000
1983-12,3.600000
1984-01,3.700000
1984-02,3.400000
1984-03,3.300000
1984-04,3.500000
1984-05,3.300000
1984-06,3.200000
1984-07,3.300000
1984-08,3.200000
1984-09,2.900000
1984-10,3.300000
1984-11,3.000000
1984-12,2.900000
1985-01,3.100000
1985-02,2.900000
1985-03,3.000000
1985-04,3.000000
1985-05,3.000000
1985-06,2.900000
1985-07,2.800000
1985-08,2.800000
1985-09,2.800000
1985-10,2.600000
1985-11,2.700000
1985-12,2.800000
1986-01,2.700000
1986-02,2.900000
1986-03,2.900000
1986-04,2.600000
1986-05,2.800000
1986-06,2.600000
1986-07,2.500000
1986-08,2.600000
1986-09,2.600000
1986-10,2.600000
1986-11,2.700000
1986-12,2.600000
1987-01,2.300000
1987-02,2.400000
1987-03,2.400000
1987-04,2.300000
1987-05,2.300000
1987-06,2.300000
1987-07,2.200000
1987-08,2.400000
1987-09,1.900000
1987-10,2.000000
1987-11,1.900000
1987-12,1.800000
1988-01,2.000000
1988-02,1.800000
1988-03,1.900000
1988-04,1.800000
1988-05,1.900000
1988-06,1.800000
1988-07,1.900000
1988-08,1.800000
1988-09,1.800000
1988-10,1.800000
1988-11,1.700000
1988-12,1.400000
1989-01,1.500000
1989-02,1.700000
1989-03,1.600000
1989-04,1.600000
1989-05,1.600000
1989-06,1.500000
1989-07,1.300000
1989-08,1.500000
1989-09,1.500000
1989-10,1.700000
1989-11,1.500000
1989-12,1.500000
1990-01,1.500000
1990-02,1.400000
1990-03,1.400000
1990-04,1.400000
1990-05,1.700000
1990-06,1.500000
1990-07,1.700000
1990-08,1.700000
1990-09,1.900000
1990-10,2.000000
1990-11,2.300000
1990-12,2.200000
1991-01,2.200000
1991-02,2.500000
1991-03,2.600000
1991-04,2.700000
1991-05,2.700000
1991-06,2.800000
1991-07,3.200000
1991-08,3.400000
1991-09,3.500000
1991-10,3.700000
1991-11,3.800000
1991-12,4.100000
1992-01,4.300000
1992-02,4.600000
1992-03,4.800000
1992-04,5.000000
1992-05,5.400000
1992-06,5.400000
1992-07,5.800000
1992-08,6.000000
1992-09,6.100000
1992-10,6.300000
1992-11,6.500000
1992-12,6.700000
1993-01,7.500000
1993-02,7.600000
1993-03,8.000000
1993-04,8.600000
1993-05,8.700000
1993-06,9.800000
1993-07,9.700000
1993-08,9.500000
1993-09,9.700000
1993-10,9.800000
1993-11,9.800000
1993-12,9.800000
1994-01,9.900000
1994-02,9.800000
1994-03,9.500000
1994-04,9.300000
1994-05,9.200000
1994-06,9.600000
1994-07,9.400000
1994-08,9.300000
1994-09,9.000000
1994-10,9.000000
1994-11,9.000000
1994-12,9.000000
1995-01,9.000000
1995-02,8.800000
1995-03,8.700000
1995-04,8.800000
1995-05,8.600000
1995-06,8.700000
1995-07,8.600000
1995-08,8.700000
1995-09,8.700000
1995-10,8.900000
1995-11,9.000000
1995-12,9.000000
1996-01,8.700000
1996-02,9.200000
1996-03,9.100000
1996-04,9.400000
1996-05,9.500000
1996-06,9.600000
1996-07,9.500000
1996-08,9.900000
1996-09,9.800000
1996-10,9.800000
1996-11,9.900000
1996-12,10.100000
1997-01,10.000000
1997-02,10.400000
1997-03,10.400000
1997-04,10.200000
1997-05,10.200000
1997-06,10.500000
1997-07,10.100000
1997-08,9.600000
1997-09,9.500000
1997-10,9.400000
1997-11,9.200000
1997-12,8.800000
1998-01,8.800000
1998-02,8.800000
1998-03,8.400000
1998-04,8.700000
1998-05,8.900000
1998-06,8.200000
1998-07,8.300000
1998-08,8.100000
1998-09,7.600000
1998-10,7.400000
1998-11,7.600000
1998-12,7.400000
1999-01,7.300000
1999-02,7.000000
1999-03,7.000000
1999-04,6.900000
1999-05,6.700000
1999-06,6.700000
1999-07,6.600000
1999-08,6.700000
1999-09,6.600000
1999-10,6.400000
1999-11,6.300000
1999-12,6.300000
2000-01,6.200000
2000-02,6.100000
2000-03,5.900000
2000-04,5.900000
2000-05,5.600000
2000-06,5.800000
2000-07,5.600000
2000-08,5.500000
2000-09,5.200000
2000-10,5.200000
2000-11,5.200000
2000-12,4.900000
2001-01,6.100000
2001-02,6.000000
2001-03,5.900000
2001-04,5.800000
2001-05,5.900000
2001-06,5.900000
2001-07,6.000000
2001-08,6.000000
2001-09,6.000000
2001-10,6.300000
2001-11,5.900000
2001-12,6.000000
2002-01,5.900000
2002-02,5.900000
2002-03,6.000000
2002-04,6.100000
2002-05,5.900000
2002-06,5.800000
2002-07,6.200000
2002-08,6.000000
2002-09,6.300000
2002-10,6.200000
2002-11,6.300000
2002-12,6.400000
2003-01,6.500000
2003-02,6.100000
2003-03,6.500000
2003-04,6.500000
2003-05,6.400000
2003-06,6.500000
2003-07,6.600000
2003-08,7.000000
2003-09,6.700000
2003-10,7.000000
2003-11,7.400000
2003-12,7.200000
2004-01,7.000000
2004-02,7.600000
2004-03,7.600000
2004-04,7.300000
2004-05,7.800000
2004-06,7.600000
2004-07,7.300000
2004-08,7.400000
2004-09,8.000000
2004-10,7.300000
2004-11,7.700000
2004-12,7.600000
2005-01,7.900000
2005-02,8.300000
2005-03,7.500000
2005-04,7.700000
2005-05,8.100000
2005-06,8.300000
2005-07,8.200000
2005-08,8.000000
2005-09,7.600000
2005-10,8.100000
2005-11,7.400000
2005-12,7.900000
2006-01,7.900000
2006-02,7.200000
2006-03,7.600000
2006-04,7.900000
2006-05,7.300000
2006-06,7.100000
2006-07,7.100000
2006-08,7.200000
2006-09,6.700000
2006-10,6.700000
2006-11,6.700000
2006-12,6.600000
2007-01,6.500000
2007-02,6.300000
2007-03,6.600000
2007-04,6.200000
2007-05,6.000000
2007-06,6.300000
2007-07,5.900000
2007-08,6.100000
2007-09,6.200000
2007-10,6.300000
2007-11,6.100000
2007-12,6.100000
2008-01,6.000000
2008-02,5.900000
2008-03,5.900000
2008-04,5.700000
2008-05,5.900000
2008-06,6.700000
2008-07,6.300000
2008-08,6.000000
2008-09,6.500000
2008-10,6.400000
2008-11,7.100000
2008-12,6.900000
2009-01,6.900000
2009-02,7.800000
2009-03,7.900000
2009-04,7.900000
2009-05,9.000000
2009-06,8.500000
2009-07,8.500000
2009-08,8.900000
2009-09,8.900000
2009-10,8.900000
2009-11,8.800000
2009-12,9.100000
2010-01,9.200000
2010-02,9.000000
2010-03,9.000000
2010-04,9.400000
2010-05,8.900000
2010-06,8.400000
2010-07,8.900000
2010-08,8.500000
2010-09,8.500000
2010-10,8.400000
2010-11,8.100000
2010-12,8.200000
2011-01,8.100000
2011-02,7.900000
2011-03,8.000000
2011-04,7.800000
2011-05,7.900000
2011-06,8.000000
2011-07,7.900000
2011-08,7.800000
2011-09,7.700000
2011-10,7.900000
2011-11,7.800000
2011-12,7.900000
2012-01,8.000000
2012-02,7.900000
2012-03,7.600000
2012-04,7.600000
2012-05,8.300000
2012-06,8.000000
2012-07,8.100000
2012-08,8.300000
2012-09,8.200000
2012-10,8.200000
2012-11,8.500000
2012-12,8.200000
2013-01,8.000000
2013-02,8.100000
2013-03,8.400000
2013-04,8.400000
2013-05,8.000000
2013-06,8.100000
2013-07,8.000000
2013-08,8.100000
2013-09,8.200000
2013-10,7.900000
2013-11,8.200000
2013-12,8.100000
2014-01,8.200000
2014-02,8.100000
2014-03,8.200000
2014-04,8.200000
2014-05,7.800000
2014-06,8.300000
2014-07,7.900000
2014-08,8.100000
2014-09,7.900000
2014-10,8.100000
2014-11,8.100000
2014-12,7.600000
2015-01,7.900000
2015-02,8.000000
2015-03,7.700000
2015-04,7.900000
2015-05,7.700000
2015-06,7.600000
2015-07,7.200000
2015-08,7.000000
2015-09,7.500000
2015-10,7.300000
2015-11,7.000000
2015-12,7.300000
2016-01,7.100000
2016-02,7.200000
2016-03,7.400000
2016-04,6.900000
2016-05,7.300000
2016-06,6.800000
2016-07,6.900000
2016-08,7.200000
2016-09,6.800000
2016-10,7.000000
2016-11,7.000000
2016-12,7.100000
2017-01,7.000000
2017-02,7.000000
2017-03,6.500000
2017-04,6.900000
2017-05,6.900000
2017-06,6.700000
2017-07,7.000000
2017-08,6.500000
2017-09,6.900000
2017-10,7.000000
2017-11,6.500000
2017-12,6.700000
2018-01,6.800000
2018-02,5.900000
2018-03,6.200000
2018-04,6.500000
2018-05,6.000000
2018-06,6.600000
2018-07,6.500000
2018-08,6.500000
2018-09,6.600000
2018-10,6.500000
2018-11,6.600000
2018-12,6.800000
2019-01,6.300000
2019-02,6.900000
2019-03,7.400000
2019-04,6.600000
2019-05,6.600000
2019-06,6.400000
2019-07,7.300000
2019-08,7.300000
2019-09,6.800000
2019-10,6.900000
2019-11,7.700000
2019-12,6.800000
2020-01,7.400000
2020-02,7.800000
2020-03,6.800000
2020-04,8.200000
2020-05,8.500000
2020-06,9.100000
2020-07,9.600000
2020-08,9.300000
2020-09,9.000000
2020-10,8.800000
2020-11,8.600000
2020-12,9.200000
2021-01,9.000000
2021-02,9.100000
2021-03,9.600000
2021-04,9.100000
2021-05,9.100000
2021-06,9.400000
2021-07,8.700000
2021-08,8.900000
2021-09,8.900000
2021-10,8.400000
2021-11,8.400000
2021-12,8.000000
2022-01,8.000000
2022-02,7.300000
2022-03,7.700000
2022-04,7.800000
2022-05,7.800000
2022-06,7.500000
2022-07,7.300000
2022-08,6.900000
2022-09,7.000000
2022-10,7.800000
2022-11,7.300000
2022-12,7.500000
2023-01,7.100000
2023-02,7.700000
2023-03,7.300000
2023-04,7.200000
2023-05,7.200000
2023-06,8.100000
2023-07,7.100000
2023-08,8.200000
2023-09,8.100000
2023-10,7.900000
2023-11,8.000000
2023-12,8.200000
2024-01,7.800000
2024-02,8.000000
2024-03,8.800000
2024-04,8.600000
2024-05,8.100000
2024-06,8.300000
2024-07,8.600000
2024-08,8.300000
2024-09,8.700000
2024-10,8.200000
2024-11,8.400000
2024-12,8.600000
2025-01,9.600000
2025-02,8.900000
2025-03,8.100000
2025-04,8.500000
2025-05,9.100000
2025-06,8.400000
2025-07,8.900000
2025-08,8.800000
2025-09,8.800000
2025-10,9.300000
2025-11,9.100000
2025-12,8.800000
